class_id,class_name,support_count,global_refute_count,confusion_refute_count,confusion_neighbors
0,Attractive,1785,10954,2111,11|13|21
1,BeatCompete,580,12159,3093,13|14|7
2,Communicate,348,12391,3515,13|8|7
3,CreativeUnique,549,12190,2673,8|21|13
4,CuriousAdventurousExcitingLife,1311,11428,3818,13|19|6
5,EasyLife,576,12163,4050,13|6|19
6,EnjoyLife,1080,11659,3546,13|19|5
7,FineDesignLearnArt-Arch,1507,11232,2866,13|8|9
8,FineDesignLearnArt-Art,1130,11609,3961,13|6|19
9,FineDesignLearnArt-Culture,1060,11679,4630,13|0|19
10,GoodParentEmoCloseChild,932,11807,3958,13|16|19
11,Happy,730,12009,2984,0|21|6
12,HardWorking,252,12487,1412,18|26|2
13,Harmony,1319,11420,4393,19|6|0
14,Health,724,12015,4167,13|19|4
15,InLove,1153,11586,2820,13|16|6
16,InLoveAnimal,1028,11711,3976,13|19|6
17,InspirOthrs,145,12594,2020,20|9|23
18,ManagableMakePlan,679,12060,1708,26|12|8
19,NatBeauty,2375,10364,2754,13|6|4
20,PassionAbSmthing,462,12277,3332,13|0|11
21,Playful,637,12102,3259,11|0|13
22,ShareFeelings,251,12488,1699,17|23|9
23,SocialLifeFriendship,662,12077,4090,13|6|19
24,SuccInOccupHavGdJob,583,12156,3331,0|13|11
25,TchOthrs,762,11977,4015,13|19|6
26,ThngsInOrdr,641,12098,2912,8|18|7
27,WorkILike,565,12174,4816,13|0|19
